speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
8D_ch1	skepp	1	sj	0.149	48.478	34.931	e	0	439.341	798.207	5.461	47.740	0
8D_ch1	skepp	1	sj	0.149	48.478	38.535	e	1	677.454	742.940	3.131	28.150	0
8D_ch1	skepp	1	sj	0.149	48.478	36.281	e	2	870.061	865.775	5.337	41.738	515.625
8D_ch1	skepp	1	sj	0.149	48.478	39.421	e	3	1065.629	619.537	7.098	87.559	1246.094
8D_ch1	skepp	1	sj	0.149	48.478	37.797	e	4	1046.594	962.469	5.578	43.135	1246.094
8D_ch1	skepp	1	sj	0.149	48.478	38.787	e	5	716.716	1012.239	4.497	32.043	0
8D_ch1	skepp	1	sj	0.149	48.478	40.482	e	6	865.027	1013.914	5.050	39.065	1160.156
8D_ch1	skepp	1	sj	0.149	48.478	39.534	e	7	1033.704	1088.109	5.093	34.957	1160.156
8D_ch1	skepp	1	sj	0.149	48.478	47.539	e	8	1010.273	563.044	8.418	119.377	1117.188
8D_ch1	skepp	1	sj	0.149	48.478	43.443	e	9	1073.992	880.900	4.909	36.066	1074.219
8D_ch1	skepp	1	sj	0.149	48.478	44.774	e	10	1034.196	826.416	6.435	57.113	644.531
8D_ch1	skepp	1	sj	0.149	48.478	48.943	e	11	1078.767	476.092	7.571	119.270	1117.188
8D_ch1	skepp	1	sj	0.149	48.478	45.399	e	12	859.692	780.930	3.984	34.759	1160.156
8D_ch1	skepp	1	sj	0.149	48.478	42.342	e	13	474.005	756.038	4.317	37.678	0
8D_ch1	skepp	1	sj	0.149	48.478	42.176	e	14	441.579	724.411	2.966	19.830	0
8D_ch1	kil	2	tj	0.235	57.266	43.124	I	0	2325.454	2264.784	0.355	-1.164	0
8D_ch1	kil	2	tj	0.235	57.266	43.268	I	1	3980.691	1727.774	-0.072	0.844	4125.000
8D_ch1	kil	2	tj	0.235	57.266	48.067	I	2	4134.908	1382.159	-0.541	2.910	3652.344
8D_ch1	kil	2	tj	0.235	57.266	51.464	I	3	4448.302	1060.627	0.619	2.836	3781.250
8D_ch1	kil	2	tj	0.235	57.266	52.409	I	4	4733.834	1204.036	0.650	0.770	3824.219
8D_ch1	kil	2	tj	0.235	57.266	50.756	I	5	4738.694	1588.736	-0.190	1.157	4468.750
8D_ch1	kil	2	tj	0.235	57.266	52.075	I	6	4937.224	1292.760	0.127	1.256	4726.562
8D_ch1	kil	2	tj	0.235	57.266	54.017	I	7	5187.601	1294.379	-0.109	1.309	4597.656
8D_ch1	kil	2	tj	0.235	57.266	54.491	I	8	5154.906	1440.626	0.133	1.107	4253.906
8D_ch1	kil	2	tj	0.235	57.266	55.304	I	9	5086.591	1187.132	0.283	1.281	4683.594
8D_ch1	kil	2	tj	0.235	57.266	53.381	I	10	5263.981	1347.521	-0.058	0.937	4425.781
8D_ch1	kil	2	tj	0.235	57.266	52.346	I	11	5325.281	1644.702	-0.110	0.741	4683.594
8D_ch1	kil	2	tj	0.235	57.266	56.284	I	12	5326.981	1432.598	0.071	1.316	4769.531
8D_ch1	kil	2	tj	0.235	57.266	55.150	I	13	5383.789	1307.302	0.399	1.620	4941.406
8D_ch1	kil	2	tj	0.235	57.266	46.524	I	14	5427.770	1696.715	0.098	0.746	4726.562
8D_ch1	tjafs	3	tj	0.192	55.203	32.746	a	0	2799.616	2258.950	-0.053	-1.218	0
8D_ch1	tjafs	3	tj	0.192	55.203	39.255	a	1	4270.743	1473.224	-0.226	2.736	3996.094
8D_ch1	tjafs	3	tj	0.192	55.203	42.377	a	2	4758.377	1422.244	0.064	1.856	4167.969
8D_ch1	tjafs	3	tj	0.192	55.203	47.572	a	3	4551.410	1247.845	0.761	2.432	4167.969
8D_ch1	tjafs	3	tj	0.192	55.203	47.832	a	4	4237.360	1563.279	-0.391	2.293	4253.906
8D_ch1	tjafs	3	tj	0.192	55.203	49.584	a	5	4587.093	1532.370	-0.423	2.351	4425.781
8D_ch1	tjafs	3	tj	0.192	55.203	48.347	a	6	4734.728	1576.367	0.313	0.891	4125.000
8D_ch1	tjafs	3	tj	0.192	55.203	50.958	a	7	4467.412	1284.374	0.486	3.517	4210.938
8D_ch1	tjafs	3	tj	0.192	55.203	49.817	a	8	4466.665	1717.619	-0.382	1.109	4167.969
8D_ch1	tjafs	3	tj	0.192	55.203	51.276	a	9	4368.363	1631.721	-0.173	1.660	4253.906
8D_ch1	tjafs	3	tj	0.192	55.203	51.819	a	10	4731.952	1666.874	-0.165	0.552	3996.094
8D_ch1	tjafs	3	tj	0.192	55.203	56.287	a	11	4285.803	1392.313	1.033	1.327	3093.750
8D_ch1	tjafs	3	tj	0.192	55.203	55.173	a	12	4371.991	1783.787	0.611	0.224	3007.812
8D_ch1	tjafs	3	tj	0.192	55.203	50.966	a	13	3875.634	1763.508	0.325	0.801	3136.719
8D_ch1	tjafs	3	tj	0.192	55.203	42.585	a	14	2293.613	1652.706	0.827	1.501	3093.750
8D_ch1	zebra	4	s	0.194	59.444	37.808	E	0	3454.453	3449.802	0.126	-1.794	0
8D_ch1	zebra	4	s	0.194	59.444	41.992	E	1	6208.634	2415.281	-1.871	2.349	6875.000
8D_ch1	zebra	4	s	0.194	59.444	46.468	E	2	5618.943	2931.130	-1.084	-0.174	0
8D_ch1	zebra	4	s	0.194	59.444	49.504	E	3	5824.108	2706.617	-1.205	0.607	0
8D_ch1	zebra	4	s	0.194	59.444	50.692	E	4	6922.974	1744.350	-1.739	5.755	7003.906
8D_ch1	zebra	4	s	0.194	59.444	52.595	E	5	7450.646	1215.677	-0.742	6.840	7175.781
8D_ch1	zebra	4	s	0.194	59.444	53.472	E	6	7147.602	1058.982	-0.827	9.330	7218.750
8D_ch1	zebra	4	s	0.194	59.444	55.587	E	7	7370.105	1088.474	-1.733	12.331	7261.719
8D_ch1	zebra	4	s	0.194	59.444	56.547	E	8	7196.247	1289.856	-2.154	12.172	7476.562
8D_ch1	zebra	4	s	0.194	59.444	55.771	E	9	7094.290	1491.217	-1.057	6.737	6402.344
8D_ch1	zebra	4	s	0.194	59.444	58.624	E	10	7154.406	1383.972	-1.537	9.838	6574.219
8D_ch1	zebra	4	s	0.194	59.444	61.304	E	11	7078.033	1143.183	-3.864	23.332	7218.750
8D_ch1	zebra	4	s	0.194	59.444	58.502	E	12	6672.467	1481.568	-2.604	10.279	7519.531
8D_ch1	zebra	4	s	0.194	59.444	51.300	E	13	5071.532	2680.759	-0.962	-0.321	0
8D_ch1	zebra	4	s	0.194	59.444	46.147	E	14	1217.930	2084.984	1.768	2.087	0
8D_ch1	fil	5	f	0.200	47.649	38.352	I	0	359.638	1113.246	5.083	30.686	0
8D_ch1	fil	5	f	0.200	47.649	35.857	I	1	2181.517	2609.069	1.652	1.533	1332.031
8D_ch1	fil	5	f	0.200	47.649	38.038	I	2	2769.354	2414.718	1.210	0.484	1375.000
8D_ch1	fil	5	f	0.200	47.649	39.385	I	3	2872.565	2615.525	1.066	-0.017	42.969
8D_ch1	fil	5	f	0.200	47.649	39.520	I	4	2617.292	2502.103	1.332	0.764	1804.688
8D_ch1	fil	5	f	0.200	47.649	40.737	I	5	3907.918	3066.102	0.319	-1.245	0
8D_ch1	fil	5	f	0.200	47.649	42.032	I	6	3427.003	2789.931	0.630	-0.757	0
8D_ch1	fil	5	f	0.200	47.649	41.144	I	7	4050.508	2895.934	0.241	-1.027	0
