speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
104B_ch1	 	1	f	0.178	56.868	38.753	e	0	1213.450	2020.463	2.024	4.021	0
104B_ch1	 	1	f	0.178	56.868	42.777	e	1	1142.527	2065.043	1.994	3.684	0
104B_ch1	 	1	f	0.178	56.868	41.522	e	2	2108.621	2464.833	1.278	1.007	0
104B_ch1	 	1	f	0.178	56.868	40.504	e	3	3441.716	2430.755	0.833	0.130	0
104B_ch1	 	1	f	0.178	56.868	42.064	e	4	3893.992	2968.531	0.723	-0.648	1718.750
104B_ch1	 	1	f	0.178	56.868	43.363	e	5	4561.121	2614.539	0.343	-0.967	1460.938
104B_ch1	 	1	f	0.178	56.868	44.922	e	6	4353.113	3128.955	0.233	-1.039	0
104B_ch1	 	1	f	0.178	56.868	45.926	e	7	2836.368	3265.282	0.726	-0.909	0
104B_ch1	 	1	f	0.178	56.868	46.425	e	8	2681.628	3330.883	0.895	-0.709	0
104B_ch1	 	1	f	0.178	56.868	51.906	e	9	2857.512	3064.206	1.014	-0.412	0
104B_ch1	 	1	f	0.178	56.868	50.682	e	10	4277.511	3052.009	0.040	-1.219	0
104B_ch1	 	1	f	0.178	56.868	50.739	e	11	4040.059	2756.245	0.269	-0.670	0
104B_ch1	 	1	f	0.178	56.868	53.428	e	12	5018.214	2282.874	-0.175	-0.119	5199.219
104B_ch1	 	1	f	0.178	56.868	50.869	e	13	4134.234	2585.539	0.423	-0.486	3394.531
104B_ch1	 	1	f	0.178	56.868	48.299	e	14	3072.488	2469.712	1.067	0.657	1718.750
104B_ch1	fem	2	f	0.178	56.868	38.753	e	0	1213.450	2020.463	2.024	4.021	0
104B_ch1	fem	2	f	0.178	56.868	42.777	e	1	1142.527	2065.043	1.994	3.684	0
104B_ch1	fem	2	f	0.178	56.868	41.522	e	2	2108.621	2464.833	1.278	1.007	0
104B_ch1	fem	2	f	0.178	56.868	40.504	e	3	3441.716	2430.755	0.833	0.130	0
104B_ch1	fem	2	f	0.178	56.868	42.064	e	4	3893.992	2968.531	0.723	-0.648	1718.750
104B_ch1	fem	2	f	0.178	56.868	43.363	e	5	4561.121	2614.539	0.343	-0.967	1460.938
104B_ch1	fem	2	f	0.178	56.868	44.922	e	6	4353.113	3128.955	0.233	-1.039	0
104B_ch1	fem	2	f	0.178	56.868	45.926	e	7	2836.368	3265.282	0.726	-0.909	0
104B_ch1	fem	2	f	0.178	56.868	46.425	e	8	2681.628	3330.883	0.895	-0.709	0
104B_ch1	fem	2	f	0.178	56.868	51.906	e	9	2857.512	3064.206	1.014	-0.412	0
104B_ch1	fem	2	f	0.178	56.868	50.682	e	10	4277.511	3052.009	0.040	-1.219	0
104B_ch1	fem	2	f	0.178	56.868	50.739	e	11	4040.059	2756.245	0.269	-0.670	0
104B_ch1	fem	2	f	0.178	56.868	53.428	e	12	5018.214	2282.874	-0.175	-0.119	5199.219
104B_ch1	fem	2	f	0.178	56.868	50.869	e	13	4134.234	2585.539	0.423	-0.486	3394.531
104B_ch1	fem	2	f	0.178	56.868	48.299	e	14	3072.488	2469.712	1.067	0.657	1718.750
104B_ch1	zebra	3	s	0.182	62.656	40.465	E	0	5670.577	2069.158	-0.553	0.556	5671.875
104B_ch1	zebra	3	s	0.182	62.656	46.196	E	1	6288.901	1882.922	-0.633	1.559	5414.062
104B_ch1	zebra	3	s	0.182	62.656	49.512	E	2	7344.972	1998.883	-1.024	1.743	5929.688
104B_ch1	zebra	3	s	0.182	62.656	51.171	E	3	7262.337	2280.623	-1.404	2.226	8937.500
104B_ch1	zebra	3	s	0.182	62.656	54.150	E	4	7909.234	1805.232	-1.023	2.219	8808.594
104B_ch1	zebra	3	s	0.182	62.656	56.541	E	5	8641.123	1356.190	-1.635	4.013	9539.062
104B_ch1	zebra	3	s	0.182	62.656	54.611	E	6	7965.491	1782.240	-1.519	3.905	7992.188
104B_ch1	zebra	3	s	0.182	62.656	56.022	E	7	7388.712	1906.184	-1.498	3.932	8035.156
104B_ch1	zebra	3	s	0.182	62.656	57.118	E	8	8142.384	1469.627	-1.374	4.719	8378.906
104B_ch1	zebra	3	s	0.182	62.656	59.798	E	9	7760.445	1396.897	-0.540	1.537	7132.812
104B_ch1	zebra	3	s	0.182	62.656	60.695	E	10	7491.195	1417.311	-0.548	3.040	7218.750
104B_ch1	zebra	3	s	0.182	62.656	59.182	E	11	7505.258	1578.780	-0.662	1.228	7218.750
104B_ch1	zebra	3	s	0.182	62.656	61.290	E	12	6794.102	2306.533	-0.887	1.211	7089.844
