speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
101C_ch1	sjal	1	sj	0.233	54.645	37.098	A	0	710.233	969.819	4.373	30.581	0
101C_ch1	sjal	1	sj	0.233	54.645	43.446	A	1	948.392	808.665	5.659	42.157	988.281
101C_ch1	sjal	1	sj	0.233	54.645	47.826	A	2	994.666	809.121	8.107	79.572	1031.250
101C_ch1	sjal	1	sj	0.233	54.645	43.721	A	3	1197.882	1349.113	4.037	19.437	515.625
101C_ch1	sjal	1	sj	0.233	54.645	48.158	A	4	1192.985	1170.286	5.754	37.074	1031.250
101C_ch1	sjal	1	sj	0.233	54.645	46.532	A	5	1287.261	1666.064	3.963	16.331	558.594
101C_ch1	sjal	1	sj	0.233	54.645	46.546	A	6	1498.426	1999.907	3.174	9.547	1031.250
101C_ch1	sjal	1	sj	0.233	54.645	48.741	A	7	1449.444	1735.852	3.754	14.276	988.281
101C_ch1	sjal	1	sj	0.233	54.645	50.812	A	8	1180.805	1539.191	4.871	23.783	988.281
101C_ch1	sjal	1	sj	0.233	54.645	49.496	A	9	1340.128	1818.641	3.857	14.362	988.281
101C_ch1	sjal	1	sj	0.233	54.645	44.645	A	10	1880.361	2461.248	2.354	4.293	1031.250
101C_ch1	sjal	1	sj	0.233	54.645	51.657	A	11	1267.531	1499.509	4.624	22.002	945.312
101C_ch1	sjal	1	sj	0.233	54.645	50.035	A	12	1251.359	1373.592	4.960	25.312	945.312
101C_ch1	sjal	1	sj	0.233	54.645	52.651	A	13	1048.020	1058.904	6.759	48.437	988.281
101C_ch1	sjal	1	sj	0.233	54.645	51.322	A	14	1024.250	990.820	6.715	51.161	1031.250
101C_ch1	skida	2	sj	0.211	48.694	36.561	I	0	773.587	756.360	3.207	28.407	0
101C_ch1	skida	2	sj	0.211	48.694	35.793	I	1	800.274	925.944	6.185	48.252	472.656
101C_ch1	skida	2	sj	0.211	48.694	39.003	I	2	769.002	800.608	6.137	59.876	0
101C_ch1	skida	2	sj	0.211	48.694	40.296	I	3	770.691	809.927	5.795	54.726	0
101C_ch1	skida	2	sj	0.211	48.694	39.873	I	4	991.468	1018.621	6.378	47.473	945.312
101C_ch1	skida	2	sj	0.211	48.694	40.421	I	5	857.236	1002.928	6.786	53.297	945.312
101C_ch1	skida	2	sj	0.211	48.694	41.944	I	6	872.405	1119.040	5.715	37.862	515.625
101C_ch1	skida	2	sj	0.211	48.694	40.178	I	7	1013.393	1552.359	4.249	18.898	515.625
101C_ch1	skida	2	sj	0.211	48.694	42.109	I	8	1003.436	1655.637	4.648	21.227	472.656
101C_ch1	skida	2	sj	0.211	48.694	42.850	I	9	1187.991	1821.709	3.616	13.142	902.344
101C_ch1	skida	2	sj	0.211	48.694	40.838	I	10	1153.318	1892.287	3.660	13.061	472.656
101C_ch1	skida	2	sj	0.211	48.694	42.180	I	11	1145.750	1656.635	4.151	17.215	859.375
101C_ch1	skida	2	sj	0.211	48.694	39.436	I	12	981.993	1752.363	4.208	17.681	515.625
101C_ch1	skida	2	sj	0.211	48.694	39.810	I	13	1074.822	1465.172	5.136	26.357	816.406
101C_ch1	skida	2	sj	0.211	48.694	41.934	I	14	926.680	819.292	8.841	87.637	902.344
101C_ch1	kil	3	tj	0.243	58.908	38.736	I	0	3552.532	1364.468	0.813	4.553	3351.562
101C_ch1	kil	3	tj	0.243	58.908	47.048	I	1	3974.485	1048.641	2.049	7.361	3695.312
101C_ch1	kil	3	tj	0.243	58.908	49.230	I	2	4042.247	1406.450	1.686	3.361	3523.438
101C_ch1	kil	3	tj	0.243	58.908	48.343	I	3	4704.246	1808.913	1.022	0.473	3609.375
101C_ch1	kil	3	tj	0.243	58.908	50.986	I	4	4308.102	1787.817	1.341	1.372	3523.438
101C_ch1	kil	3	tj	0.243	58.908	54.525	I	5	4013.269	1637.942	1.679	2.206	3394.531
101C_ch1	kil	3	tj	0.243	58.908	52.491	I	6	4483.026	1611.005	0.959	1.838	4167.969
101C_ch1	kil	3	tj	0.243	58.908	54.137	I	7	4199.395	1685.149	1.202	1.936	3308.594
101C_ch1	kil	3	tj	0.243	58.908	54.620	I	8	4201.898	1652.501	1.437	1.924	3179.688
101C_ch1	kil	3	tj	0.243	58.908	55.884	I	9	4062.136	1601.168	1.634	2.239	2878.906
101C_ch1	kil	3	tj	0.243	58.908	55.861	I	10	4088.058	1422.844	1.899	3.923	3179.688
101C_ch1	kil	3	tj	0.243	58.908	58.479	I	11	3604.026	1079.122	3.088	11.828	3222.656
101C_ch1	kil	3	tj	0.243	58.908	55.821	I	12	3831.034	1547.330	2.002	4.036	3136.719
101C_ch1	kil	3	tj	0.243	58.908	59.445	I	13	3466.175	1108.573	2.922	10.986	2750.000
101C_ch1	kil	3	tj	0.243	58.908	56.502	I	14	3417.018	1261.732	2.435	8.516	2835.938
101C_ch1	zebra	4	s	0.229	55.417	35.159	E	0	3353.355	2958.502	0.944	-0.270	1718.750
101C_ch1	zebra	4	s	0.229	55.417	41.910	E	1	5797.085	3730.785	-0.472	-1.273	0
101C_ch1	zebra	4	s	0.229	55.417	45.014	E	2	7073.658	3006.833	-1.230	0.441	0
