speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
7C_ch1	tur	1	t	0.105	52.000	46.919	U	0	5429.514	2551.100	-0.178	0.049	5113.281
7C_ch1	tur	1	t	0.105	52.000	46.382	U	1	4648.458	2896.081	-0.197	-0.800	0
7C_ch1	tur	1	t	0.105	52.000	47.803	U	2	4407.043	3430.245	0.152	-1.359	0
7C_ch1	tur	1	t	0.105	52.000	49.412	U	3	4579.122	3351.100	0.077	-1.287	0
7C_ch1	tur	1	t	0.105	52.000	49.094	U	4	4523.400	2864.233	0.012	-0.710	4597.656
7C_ch1	tur	1	t	0.105	52.000	50.360	U	5	3840.997	3023.755	0.326	-1.094	429.688
7C_ch1	tur	1	t	0.105	52.000	49.635	U	6	3159.885	3041.344	0.781	-0.630	429.688
7C_ch1	tur	1	t	0.105	52.000	50.166	U	7	2489.284	2723.643	1.182	0.344	472.656
7C_ch1	tur	1	t	0.105	52.000	49.963	U	8	2905.921	2509.067	0.842	0.058	472.656
7C_ch1	tur	1	t	0.105	52.000	47.090	U	9	2781.969	2569.280	0.989	0.253	429.688
7C_ch1	tur	1	t	0.105	52.000	46.748	U	10	2690.665	1880.285	1.422	2.440	1847.656
7C_ch1	tur	1	t	0.105	52.000	46.087	U	11	2467.974	1628.046	1.380	3.294	1804.688
7C_ch1	tur	1	t	0.105	52.000	41.546	U	12	2033.709	1798.887	1.179	2.017	1847.656
7C_ch1	tur	1	t	0.105	52.000	41.866	U	13	1705.781	1193.963	1.922	8.978	1847.656
7C_ch1	tur	1	t	0.105	52.000	41.069	U	14	1497.546	1122.285	2.766	16.575	1804.688
7C_ch1	fil	2	f	0.270	45.238	27.835	I	0	740.838	1442.151	2.877	10.424	0
7C_ch1	fil	2	f	0.270	45.238	35.354	I	1	1308.932	1907.949	1.561	2.389	0
7C_ch1	fil	2	f	0.270	45.238	35.843	I	2	1992.146	2345.123	1.305	1.243	0
7C_ch1	fil	2	f	0.270	45.238	35.375	I	3	4177.839	2681.631	0.555	-0.387	3867.188
7C_ch1	fil	2	f	0.270	45.238	38.449	I	4	3220.352	2793.875	0.716	-0.313	0
7C_ch1	fil	2	f	0.270	45.238	41.719	I	5	3612.549	2022.656	1.244	1.937	3136.719
7C_ch1	fil	2	f	0.270	45.238	42.707	I	6	3533.129	2516.025	1.011	0.636	3050.781
7C_ch1	fil	2	f	0.270	45.238	42.267	I	7	4361.090	2555.953	0.620	-0.394	3910.156
7C_ch1	fil	2	f	0.270	45.238	42.217	I	8	4108.159	2402.105	0.801	0.260	3179.688
7C_ch1	fil	2	f	0.270	45.238	41.065	I	9	3179.967	2612.509	1.060	0.677	0
7C_ch1	fil	2	f	0.270	45.238	38.641	I	10	3245.234	2864.151	0.882	0.003	0
7C_ch1	fil	2	f	0.270	45.238	38.535	I	11	3444.605	3088.751	0.716	-0.465	0
7C_ch1	fil	2	f	0.270	45.238	41.916	I	12	4399.166	2683.985	0.522	-0.472	3867.188
7C_ch1	fil	2	f	0.270	45.238	38.922	I	13	2853.191	2556.538	1.104	0.709	0
7C_ch1	fil	2	f	0.270	45.238	36.056	I	14	1276.945	1740.100	1.701	3.242	42.969
7C_ch1	tjur	3	tj	0.240	53.639	32.260	U	0	2794.261	2026.019	0.184	-0.163	42.969
7C_ch1	tjur	3	tj	0.240	53.639	39.786	U	1	3413.726	1785.627	-0.280	1.241	0
7C_ch1	tjur	3	tj	0.240	53.639	43.393	U	2	3991.236	1371.246	0.244	6.215	4339.844
7C_ch1	tjur	3	tj	0.240	53.639	42.449	U	3	4221.639	1360.980	1.789	6.012	3824.219
7C_ch1	tjur	3	tj	0.240	53.639	49.136	U	4	4218.099	799.714	3.271	18.154	4339.844
7C_ch1	tjur	3	tj	0.240	53.639	49.334	U	5	4366.400	1083.965	2.876	10.311	4253.906
7C_ch1	tjur	3	tj	0.240	53.639	50.434	U	6	4166.956	1180.926	2.811	8.965	3652.344
7C_ch1	tjur	3	tj	0.240	53.639	50.787	U	7	4357.747	1392.560	2.243	4.987	3738.281
7C_ch1	tjur	3	tj	0.240	53.639	50.812	U	8	4449.975	1203.686	2.363	7.863	4296.875
7C_ch1	tjur	3	tj	0.240	53.639	52.713	U	9	3972.101	1229.612	2.419	7.712	3824.219
7C_ch1	tjur	3	tj	0.240	53.639	51.431	U	10	4136.175	1467.390	1.939	4.002	3265.625
7C_ch1	tjur	3	tj	0.240	53.639	51.700	U	11	3786.615	1343.934	2.179	6.674	3738.281
7C_ch1	tjur	3	tj	0.240	53.639	50.674	U	12	3584.893	1738.020	1.034	3.443	3652.344
7C_ch1	tjur	3	tj	0.240	53.639	47.277	U	13	3082.450	1920.382	0.671	2.065	0
7C_ch1	tjur	3	tj	0.240	53.639	40.058	U	14	1573.370	1646.367	0.876	1.016	0
7C_ch1	fat	4	f	0.199	47.080	46.413	A	0	769.936	863.932	2.561	13.673	42.969
7C_ch1	fat	4	f	0.199	47.080	36.685	A	1	753.362	1285.442	2.583	9.753	0
7C_ch1	fat	4	f	0.199	47.080	39.358	A	2	715.503	1333.485	3.042	13.142	0
7C_ch1	fat	4	f	0.199	47.080	41.153	A	3	1261.668	1363.568	2.184	9.990	0
7C_ch1	fat	4	f	0.199	47.080	39.340	A	4	2279.797	1805.848	1.337	3.432	0
7C_ch1	fat	4	f	0.199	47.080	40.940	A	5	3010.048	1792.286	1.935	4.563	3093.750
7C_ch1	fat	4	f	0.199	47.080	41.815	A	6	3038.125	2085.685	1.581	2.873	1417.969
7C_ch1	fat	4	f	0.199	47.080	42.456	A	7	3261.432	2421.416	1.395	1.209	1289.062
7C_ch1	fat	4	f	0.199	47.080	43.608	A	8	2981.758	2413.965	1.315	1.350	1417.969
7C_ch1	fat	4	f	0.199	47.080	42.120	A	9	3973.184	2906.581	0.949	-0.391	1332.031
7C_ch1	fat	4	f	0.199	47.080	42.301	A	10	3711.925	2908.770	0.849	-0.407	1417.969
7C_ch1	fat	4	f	0.199	47.080	44.740	A	11	1881.186	2541.822	1.703	2.457	0
7C_ch1	fat	4	f	0.199	47.080	43.021	A	12	2826.640	2551.000	1.324	1.199	0
7C_ch1	fat	4	f	0.199	47.080	38.240	A	13	2277.917	2038.598	1.958	4.190	816.406
7C_ch1	fat	4	f	0.199	47.080	33.579	A	14	842.502	1497.753	3.528	15.899	0
7C_ch1	sal	5	s	0.249	47.549	28.816	A	0	966.375	1913.969	2.465	5.834	0
7C_ch1	sal	5	s	0.249	47.549	32.012	A	1	3414.928	2921.315	0.045	-1.392	0
7C_ch1	sal	5	s	0.249	47.549	39.501	A	2	982.517	2299.989	2.124	2.856	0
7C_ch1	sal	5	s	0.249	47.549	41.959	A	3	3349.774	3207.652	0.042	-1.763	0
7C_ch1	sal	5	s	0.249	47.549	43.368	A	4	5456.067	2448.458	-1.382	0.925	6445.312
7C_ch1	sal	5	s	0.249	47.549	41.344	A	5	6060.692	2632.274	-1.129	0.623	0
7C_ch1	sal	5	s	0.249	47.549	43.405	A	6	6743.704	1967.056	-1.491	3.001	6402.344
7C_ch1	sal	5	s	0.249	47.549	43.485	A	7	6483.493	2967.313	-1.260	0.410	0
7C_ch1	sal	5	s	0.249	47.549	43.621	A	8	6335.251	2511.604	-1.509	1.474	7992.188
7C_ch1	sal	5	s	0.249	47.549	42.513	A	9	6431.189	2917.061	-1.126	0.279	0
7C_ch1	sal	5	s	0.249	47.549	42.561	A	10	5461.100	3301.564	-0.686	-0.938	0
7C_ch1	sal	5	s	0.249	47.549	46.615	A	11	5633.783	3025.118	-0.984	-0.368	0
7C_ch1	sal	5	s	0.249	47.549	45.868	A	12	6783.507	3037.743	-1.340	0.596	0
7C_ch1	sal	5	s	0.249	47.549	45.118	A	13	5623.820	2672.768	-0.902	0.132	0
7C_ch1	sal	5	s	0.249	47.549	39.793	A	14	443.238	1395.398	4.160	18.553	0
7C_ch1	sjuk	6	sj	0.286	52.920	32.253	U	0	1175.664	1151.709	4.279	24.087	773.438
7C_ch1	sjuk	6	sj	0.286	52.920	41.779	U	1	3599.064	1147.931	-0.621	4.504	3609.375
7C_ch1	sjuk	6	sj	0.286	52.920	32.310	U	2	557.390	929.395	5.078	38.543	42.969
7C_ch1	sjuk	6	sj	0.286	52.920	39.806	U	3	1276.829	632.491	2.491	24.430	1160.156
7C_ch1	sjuk	6	sj	0.286	52.920	43.493	U	4	1394.322	483.468	5.031	58.737	1289.062
7C_ch1	sjuk	6	sj	0.286	52.920	43.947	U	5	1121.996	777.542	1.549	12.474	0
